,Neighborhood,N_Lat,N_Lng,Venue,V_Lti,V_Lng,Venue_Category
0,Marble Hill,40.87655077879964,-73.91065965862981,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio
1,Marble Hill,40.87655077879964,-73.91065965862981,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
2,Marble Hill,40.87655077879964,-73.91065965862981,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner
3,Marble Hill,40.87655077879964,-73.91065965862981,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy
4,Marble Hill,40.87655077879964,-73.91065965862981,Subway,40.8746665302951,-73.9095858429637,Sandwich Place
5,Marble Hill,40.87655077879964,-73.91065965862981,Vitamin Shoppe,40.87716,-73.905632,Supplement Shop
6,Marble Hill,40.87655077879964,-73.91065965862981,Baskin-Robbins,40.87713228361307,-73.90667840652725,Ice Cream Shop
7,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop
8,Marble Hill,40.87655077879964,-73.91065965862981,The Children's Place,40.873671591133125,-73.90815619608166,Kids Store
9,Marble Hill,40.87655077879964,-73.91065965862981,America's Best Contacts & Eyeglasses,40.874001,-73.909693,Optical Shop
10,Marble Hill,40.87655077879964,-73.91065965862981,TCR The Club of Riverdale,40.8786283,-73.9145678,Tennis Stadium
11,Marble Hill,40.87655077879964,-73.91065965862981,Auntie Anne's,40.8773995,-73.9049467,Bakery
12,Marble Hill,40.87655077879964,-73.91065965862981,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store
13,Marble Hill,40.87655077879964,-73.91065965862981,U-Haul Moving & Storage of Riverdale,40.87836874312277,-73.90953147870039,Storage Facility
14,Marble Hill,40.87655077879964,-73.91065965862981,Subway,40.878464979323944,-73.9055176422437,Sandwich Place
15,Marble Hill,40.87655077879964,-73.91065965862981,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
16,Marble Hill,40.87655077879964,-73.91065965862981,TD Bank,40.8794958,-73.9092856,Bank
17,Marble Hill,40.87655077879964,-73.91065965862981,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store
18,Marble Hill,40.87655077879964,-73.91065965862981,Blink Fitness,40.877271495944626,-73.90559491338075,Gym
19,Marble Hill,40.87655077879964,-73.91065965862981,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop
20,Marble Hill,40.87655077879964,-73.91065965862981,Forever 21,40.87747,-73.90594,Clothing Store
21,Marble Hill,40.87655077879964,-73.91065965862981,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse
22,Marble Hill,40.87655077879964,-73.91065965862981,Terrace View Delicatessen,40.875995,-73.913151,Deli / Bodega
23,Marble Hill,40.87655077879964,-73.91065965862981,Grill 26 at TCR,40.878802209517126,-73.9156723022461,American Restaurant
24,Chinatown,40.71561842231432,-73.99427936255978,Cheeky Sandwiches,40.715821,-73.99183,Sandwich Place
25,Chinatown,40.71561842231432,-73.99427936255978,Hotel 50 Bowery,40.7159364,-73.9967894,Hotel
26,Chinatown,40.71561842231432,-73.99427936255978,Michaeli Bakery,40.71470398399014,-73.99184703826903,Bakery
27,Chinatown,40.71561842231432,-73.99427936255978,Kiki's,40.714476082876864,-73.99203609673215,Greek Restaurant
28,Chinatown,40.71561842231432,-73.99427936255978,Scarr's Pizza,40.715335008813696,-73.99164900167455,Pizza Place
29,Chinatown,40.71561842231432,-73.99427936255978,Bar Belly,40.71513492837161,-73.99180174375184,Cocktail Bar
30,Chinatown,40.71561842231432,-73.99427936255978,Regina's Grocery,40.71545271972335,-73.99162066038105,Sandwich Place
31,Chinatown,40.71561842231432,-73.99427936255978,Fong On,40.714165,-73.9937,Dessert Shop
32,Chinatown,40.71561842231432,-73.99427936255978,Spicy Village,40.71701,-73.99353,Chinese Restaurant
33,Chinatown,40.71561842231432,-73.99427936255978,Sam's Fried Ice Cream,40.715814082261154,-73.99145645060749,Ice Cream Shop
34,Chinatown,40.71561842231432,-73.99427936255978,Xi'an Famous Foods,40.715231941715004,-73.99726288220869,Chinese Restaurant
35,Chinatown,40.71561842231432,-73.99427936255978,Museum at Eldridge Street,40.714724,-73.993497,Museum
